userid,read_commentsum,likesum,click_avatarsum,forwardsum,commentsum,followsum,favoritesum,date_
2149,0,1,0,0,0,0,0,8
2154,0,3,1,0,0,0,0,8
2165,4,10,0,0,0,0,0,8
2182,14,3,3,0,0,0,0,8
2195,0,0,0,0,0,0,0,8
2201,0,6,0,0,0,0,0,8
2273,1,0,0,0,0,0,0,8
2279,2,1,0,0,0,0,0,8
2301,8,8,1,0,0,0,0,8
2326,0,8,0,0,0,0,0,8
2327,3,4,0,0,0,0,0,8
2332,7,1,0,0,0,0,0,8
2366,0,16,0,0,0,0,0,8
2377,0,5,0,0,0,0,1,8
2378,20,4,0,0,0,0,0,8
2379,65,0,2,0,0,0,0,8
2400,0,0,0,0,0,0,0,8
2402,0,1,5,0,0,0,0,8
2417,0,0,8,0,0,0,0,8
2433,61,3,3,0,0,0,0,8
2467,1,0,0,0,0,0,0,8
2472,4,3,0,0,0,0,0,8
2484,0,3,0,0,0,0,0,8
2488,0,0,1,0,0,0,0,8
2490,0,4,0,0,0,0,0,8
2501,1,0,0,0,0,0,0,8
2539,3,2,1,2,0,0,0,8
2541,0,2,0,0,0,0,0,8
2542,0,4,2,0,0,0,0,8
2560,3,0,1,0,0,0,0,8
2569,0,2,0,0,0,0,0,8
2600,0,2,0,4,0,0,0,8
2603,0,10,1,0,0,0,0,8
2617,0,0,0,0,0,0,0,8
2623,0,1,0,0,0,0,0,8
2624,0,0,0,0,0,0,0,8
2626,9,2,0,0,0,0,0,8
2640,0,0,0,0,0,0,0,8
2645,0,0,0,0,0,0,0,8
2663,0,0,0,0,0,0,0,8
2673,0,3,1,0,0,0,0,8
2716,0,3,0,0,0,0,0,8
2721,0,2,12,4,0,0,0,8
2724,0,0,0,0,0,0,0,8
2738,0,8,1,1,0,0,0,8
2739,8,0,2,4,0,0,0,8
2742,0,6,1,0,0,0,0,8
2758,2,0,2,0,0,0,1,8
2765,6,0,1,0,0,0,0,8
2784,0,3,0,0,0,0,0,8
2800,0,3,0,1,0,0,0,8
2823,8,0,0,3,0,0,0,8
2825,147,1,1,1,0,0,0,8
2827,0,3,0,0,0,0,0,8
2831,0,1,9,0,4,1,0,8
2837,0,2,0,0,0,0,0,8
2840,0,9,0,0,0,0,0,8
2857,1,147,0,3,0,0,0,8
2871,0,3,0,0,0,0,0,8
2877,52,1,1,0,0,0,0,8
2881,0,2,0,0,0,0,0,8
2892,0,7,0,0,0,0,0,8
2900,1,0,0,7,0,0,0,8
2903,1,1,0,0,0,0,0,8
2904,0,3,5,0,0,0,0,8
2906,34,0,1,1,1,0,0,8
2920,9,1,0,0,0,0,0,8
2941,0,1,3,7,0,0,0,8
2963,31,1,0,1,0,0,0,8
2968,0,4,0,1,0,0,2,8
2979,2,0,1,0,0,0,0,8
2981,2,0,1,0,0,0,0,8
2996,0,0,0,0,0,0,0,8
3002,1,1,7,0,0,2,0,8
3017,1,1,2,0,0,0,0,8
3018,0,1,0,0,0,0,0,8
3029,0,5,0,0,0,0,0,8
3032,0,0,0,3,0,0,0,8
3035,0,3,0,0,0,0,0,8
3052,6,5,1,0,0,0,0,8
3087,4,1,1,0,0,0,0,8
3088,0,1,0,0,0,0,0,8
3105,4,0,0,0,0,0,0,8
3164,0,2,1,0,0,0,0,8
3186,0,2,0,0,0,0,0,8
3197,0,1,0,0,0,0,0,8
3223,3,12,0,0,0,0,0,8
3225,2,2,1,0,0,0,0,8
3276,4,10,0,0,0,0,0,8
3309,0,5,0,0,0,0,0,8
3313,0,4,0,21,0,0,0,8
3322,11,2,1,0,0,0,0,8
3326,6,0,0,0,0,0,0,8
3348,0,12,0,0,0,0,0,8
3351,0,0,11,0,0,7,0,8
3353,0,2,0,0,0,0,0,8
3366,47,11,2,0,0,2,0,8
3372,31,18,3,0,0,0,0,8
3381,0,0,9,0,0,0,0,8
3393,1,0,2,0,0,0,0,8
3415,14,97,4,0,0,0,0,8
3509,0,1,0,0,0,0,0,8
3513,0,8,0,0,0,0,0,8
3538,19,1,2,0,0,0,0,8
3542,0,0,0,0,0,0,0,8
3544,0,2,1,2,0,1,0,8
3547,5,13,3,0,0,1,0,8
3551,0,4,0,0,1,0,2,8
3564,2,4,0,1,0,0,0,8
3583,0,75,0,1,0,0,0,8
3598,54,3,0,0,0,0,0,8
3600,11,0,4,0,0,0,0,8
3604,0,2,0,0,0,0,0,8
3609,0,0,0,0,0,0,0,8
3610,1,3,0,0,0,0,0,8
3635,0,0,0,0,0,0,0,8
3659,0,0,2,0,0,2,0,8
3661,1,0,0,0,0,0,0,8
3671,0,3,1,2,0,0,0,8
3678,0,0,2,0,0,0,0,8
3696,1,10,0,0,0,0,0,8
3708,0,10,2,1,0,0,0,8
3714,198,3,1,0,0,0,0,8
3718,0,0,0,4,0,0,0,8
3723,0,13,0,0,0,0,0,8
3733,1,0,0,0,0,0,0,8
3751,0,0,2,0,0,2,0,8
3777,14,3,0,0,0,0,0,8
3780,1,4,0,0,0,0,2,8
3785,1,8,1,1,0,0,0,8
3790,0,0,0,0,0,0,0,8
3792,0,1,0,0,0,0,0,8
3804,2,0,1,0,0,0,0,8
3807,215,12,3,2,1,0,0,8
3829,0,1,0,0,0,0,0,8
3834,0,0,0,0,0,0,0,8
3853,20,1,10,0,1,0,0,8
3854,0,2,0,0,0,0,0,8
3857,0,0,0,2,0,0,3,8
3880,11,3,1,0,0,0,0,8
3901,0,4,0,0,0,0,0,8
3903,1,0,0,0,0,0,0,8
3916,0,2,1,4,0,1,0,8
3927,26,1,4,0,0,0,1,8
3934,0,0,0,0,0,0,0,8
3968,35,0,3,0,0,0,0,8
3975,0,17,0,0,0,0,0,8
3977,0,8,0,15,0,0,0,8
3980,0,0,9,0,0,0,0,8
3982,0,3,0,0,0,0,0,8
3990,2,1,0,0,0,0,0,8
4004,52,0,2,2,0,0,0,8
4025,0,4,0,0,0,0,0,8
4046,0,5,1,0,0,0,0,8
4078,6,2,0,0,0,0,0,8
4081,2,2,2,2,0,1,5,8
4082,9,0,1,0,0,0,0,8
4087,0,9,0,0,0,0,0,8
4103,215,2,1,0,0,0,0,8
4112,0,3,0,1,0,0,0,8
4138,0,7,0,3,0,0,0,8
4155,20,6,0,0,1,0,0,8
4160,49,9,3,1,0,0,0,8
4207,0,8,0,0,0,0,0,8
4234,0,4,0,0,0,0,0,8
4239,13,95,0,0,0,0,0,8
4252,0,0,0,0,0,0,0,8
4301,0,0,1,0,0,0,8,8
4302,0,124,21,4,0,20,0,8
4309,0,0,0,0,0,0,0,8
4372,0,1,0,0,0,0,0,8
4379,3,4,0,1,0,0,0,8
4380,0,2,0,0,0,0,0,8
4388,4,0,3,0,0,0,0,8
4389,0,1,1,3,0,0,0,8
4391,6,9,0,0,0,0,0,8
4418,0,0,0,0,0,0,0,8
4436,0,3,0,2,0,0,0,8
4463,0,0,2,0,0,0,0,8
4504,0,1,0,0,0,0,0,8
4517,20,3,0,0,0,0,0,8
4524,0,0,1,0,0,0,2,8
4530,0,0,0,0,0,0,0,8
4532,0,8,0,0,0,0,0,8
4575,11,3,0,0,0,0,0,8
4577,3,3,1,0,2,1,0,8
4579,0,4,0,3,0,0,0,8
4602,0,0,0,0,0,0,0,8
4616,0,1,2,0,0,0,0,8
4620,0,3,0,0,0,0,0,8
4632,0,4,0,0,0,0,0,8
4633,0,29,0,6,0,0,0,8
4639,0,0,0,0,0,0,0,8
4651,0,0,0,0,0,0,0,8
4671,15,4,1,0,0,0,0,8
4674,10,2,0,0,0,0,0,8
4678,0,1,0,0,0,0,0,8
4687,0,0,0,0,0,0,0,8
4688,0,0,0,0,0,0,1,8
4704,0,7,0,0,0,0,0,8
4710,0,4,0,1,1,0,0,8
4767,0,14,2,0,0,0,0,8
4777,0,1,8,0,0,4,0,8
4799,0,0,0,0,0,0,0,8
4814,38,2,3,1,0,0,0,8
4833,7,1,0,0,0,0,0,8
4852,0,0,2,1,0,1,0,8
4872,16,10,2,0,0,0,0,8
4877,12,32,0,3,0,0,0,8
4891,0,9,0,0,0,0,0,8
4896,0,3,0,0,0,0,0,8
4919,2,1,4,0,0,0,0,8
4941,0,3,4,0,0,0,0,8
4951,0,1,6,0,0,0,0,8
4952,3,0,0,0,0,0,0,8
4961,0,6,0,5,0,0,2,8
4962,12,4,0,0,0,0,0,8
4965,0,1,11,0,0,5,0,8
4977,3,2,1,0,0,0,0,8
4988,1,1,3,0,0,2,0,8
5000,2,5,0,0,1,0,0,8
5007,4,63,5,0,0,0,0,8
5020,0,3,0,0,0,0,0,8
5030,0,2,0,1,0,0,0,8
5032,29,6,3,0,0,0,0,8
5099,11,1,1,0,0,0,0,8
5110,3,1,0,0,0,0,0,8
5117,0,0,4,0,0,0,0,8
5119,7,4,0,0,0,0,0,8
5127,10,1,3,0,0,1,0,8
5137,3,1,0,1,0,0,0,8
5141,0,1,0,0,0,0,0,8
5148,0,18,0,0,0,0,0,8
5168,0,3,0,0,0,0,0,8
5172,70,2,0,0,0,0,0,8
5174,0,0,2,0,0,0,0,8
5190,0,0,0,2,0,0,0,8
5194,0,1,0,0,0,0,0,8
5200,102,5,3,0,0,1,0,8
5211,9,3,1,0,0,0,0,8
5223,10,6,5,2,1,0,0,8
5227,0,0,0,1,0,0,0,8
5240,0,19,4,2,0,1,0,8
5263,0,5,6,0,0,0,0,8
5277,24,0,1,0,0,0,2,8
5279,0,0,0,0,0,0,0,8
5301,2,7,2,0,0,0,0,8
5303,4,2,0,1,0,0,0,8
5343,1,1,0,0,0,0,0,8
5357,0,0,0,0,0,0,0,8
5358,0,0,3,0,0,0,0,8
5364,0,0,3,0,0,0,0,8
5374,0,5,0,1,0,0,0,8
5392,17,1,3,1,0,0,0,8
5403,0,2,0,0,0,0,0,8
5428,0,0,1,0,0,0,0,8
5468,0,2,0,0,0,0,0,8
5472,0,0,0,0,0,0,0,8
5481,0,0,1,0,0,1,0,8
5485,0,0,1,0,0,0,0,8
5487,0,30,0,0,0,0,0,8
5495,0,4,0,0,0,0,0,8
5497,10,0,0,0,0,0,0,8
5514,3,101,2,2,0,2,0,8
5517,14,1,1,3,0,1,0,8
5524,0,0,0,1,0,0,0,8
5534,9,48,2,2,0,1,0,8
5540,0,0,1,0,0,0,0,8
5547,6,2,8,0,0,1,0,8
5558,3,22,2,4,0,0,5,8
5612,0,4,0,0,1,0,0,8
5614,0,0,0,0,0,0,0,8
5622,35,28,3,0,0,0,0,8
5631,0,0,4,0,0,0,0,8
5639,40,1,1,1,1,1,0,8
5643,90,0,0,0,0,0,2,8
5644,0,0,0,0,0,0,0,8
5661,0,1,0,0,0,0,0,8
5668,0,0,0,1,0,0,0,8
5685,0,2,0,2,0,0,0,8
5708,0,2,0,0,0,0,0,8
5729,0,10,0,4,0,0,0,8
5750,1,1,0,0,0,0,0,8
5759,1,1,0,0,0,0,0,8
5786,1,6,0,0,0,0,0,8
5798,16,1,6,0,0,0,0,8
5807,0,1,1,0,0,0,0,8
5814,3,0,0,0,0,0,0,8
5825,56,34,1,0,0,0,0,8
5847,0,5,0,0,0,0,0,8
5860,8,5,0,1,0,0,0,8
5865,0,1,1,0,0,1,0,8
5876,3,3,2,1,0,0,0,8
5880,0,0,0,0,0,0,1,8
5884,0,10,1,0,0,0,0,8
5895,11,0,1,0,0,0,0,8
5907,2,5,0,0,0,0,0,8
5912,4,0,3,0,0,0,0,8
5925,16,2,1,0,0,0,0,8
5926,1,0,1,0,0,0,0,8
5934,1,2,0,2,0,0,0,8
5938,2,17,0,1,0,0,0,8
5946,0,1,0,0,0,0,0,8
5971,0,0,0,0,0,0,0,8
5974,0,0,2,0,0,0,0,8
6008,0,5,0,0,0,0,0,8
6009,29,1,5,0,0,0,0,8
6024,21,0,3,0,0,0,0,8
6047,0,11,1,0,0,0,0,8
6079,0,0,0,0,0,0,0,8
6090,1,3,0,0,0,0,0,8
6095,0,3,0,0,0,0,0,8
6098,1,0,0,1,0,0,0,8
6107,0,1,0,6,0,0,21,8
6124,17,1,0,0,0,0,0,8
6140,0,79,0,0,0,0,0,8
6171,3,2,0,0,0,0,0,8
6186,0,0,0,0,0,0,1,8
6215,0,0,0,0,0,0,0,8
6229,0,1,0,0,0,0,0,8
6234,0,0,11,0,0,0,0,8
6266,1,0,0,5,0,0,0,8
6275,0,2,2,1,0,0,1,8
6308,0,2,6,2,0,0,0,8
6309,1,0,0,0,0,0,0,8
6317,0,1,0,1,0,0,0,8
6325,1,0,0,0,0,0,0,8
6329,0,3,0,2,0,0,0,8
6344,0,3,0,0,0,0,0,8
6377,0,0,0,1,0,0,0,8
6397,14,3,0,3,0,0,0,8
6398,0,0,0,1,0,0,0,8
6405,0,3,0,0,0,0,0,8
6431,5,17,0,1,2,0,0,8
6463,37,0,2,0,0,0,0,8
6464,0,0,1,0,0,0,0,8
6468,0,0,2,4,0,0,1,8
6473,0,0,0,0,0,0,0,8
6495,1,0,4,0,0,0,0,8
6499,72,8,0,0,0,0,0,8
6507,0,5,2,0,0,0,0,8
6509,0,1,15,0,0,0,0,8
6516,90,0,6,0,0,0,0,8
6527,1,1,1,0,0,0,0,8
6540,0,3,0,0,0,0,0,8
6550,0,3,1,0,0,0,0,8
6560,0,7,0,0,0,0,0,8
6562,0,2,0,0,0,0,0,8
6565,8,4,0,0,0,0,0,8
6577,0,2,0,0,0,0,0,8
6596,0,0,20,5,0,0,0,8
6623,0,1,2,0,0,0,1,8
6630,0,1,0,1,0,0,0,8
6652,0,1,0,0,0,0,0,8
6653,0,1,1,0,0,1,0,8
6673,9,14,2,0,0,0,0,8
6688,0,2,1,0,0,0,0,8
6691,0,0,0,0,0,0,0,8
6697,3,3,0,0,0,0,0,8
6736,0,3,0,0,0,0,0,8
6750,4,2,4,1,0,4,0,8
6763,0,5,0,0,0,0,0,8
6764,3,2,0,0,0,0,0,8
6779,28,1,1,0,0,1,0,8
6789,1,1,2,0,0,0,4,8
6792,0,0,3,0,2,0,0,8
6834,0,3,12,6,0,0,0,8
6856,0,12,2,0,0,0,0,8
6862,1,4,2,0,1,1,0,8
6882,1,1,1,0,0,0,0,8
6887,0,1,5,0,0,0,0,8
6901,2,5,0,0,0,0,0,8
6904,0,3,0,0,0,0,0,8
6927,0,5,0,1,0,0,4,8
6929,0,17,0,3,0,0,1,8
6936,28,23,1,7,0,0,0,8
6947,0,3,0,0,0,0,0,8
6948,0,2,0,3,0,0,2,8
6954,4,10,0,0,0,0,0,8
6957,4,0,0,0,0,0,0,8
6960,0,1,0,4,0,0,0,8
6967,0,1,1,0,0,0,0,8
6995,11,3,2,0,0,0,0,8
7053,0,6,0,0,0,0,0,8
7078,0,8,0,0,0,0,0,8
7080,0,3,1,1,0,0,0,8
7082,1,1,1,0,0,1,0,8
7083,0,43,0,0,0,0,0,8
7100,0,3,1,0,0,0,0,8
7108,1,1,7,0,0,0,0,8
7128,0,5,0,0,0,0,0,8
7135,5,22,0,0,0,0,0,8
7165,0,11,0,9,0,0,0,8
7180,0,0,1,0,0,0,0,8
7193,0,0,0,0,0,0,0,8
7200,2,6,0,0,0,0,0,8
7223,1,5,0,0,0,0,0,8
7244,109,1,2,1,0,0,0,8
7247,0,0,1,3,0,0,0,8
7253,1,17,0,2,0,0,0,8
7257,33,0,19,3,0,1,0,8
7271,0,1,0,0,0,0,0,8
7282,0,1,3,0,0,0,0,8
7295,0,1,0,2,0,0,0,8
7298,0,0,0,0,0,0,0,8
7329,0,1,0,0,0,0,0,8
7336,7,1,8,0,0,0,0,8
7343,62,51,0,0,0,0,0,8
7359,0,28,0,0,0,0,0,8
7360,3,2,0,0,0,0,0,8
7390,0,1,5,1,0,0,0,8
7404,2,1,1,0,0,0,0,8
7426,27,1,1,0,0,0,0,8
7459,0,5,1,0,0,0,0,8
7517,0,14,0,0,0,0,0,8
7518,1,1,0,1,0,0,0,8
7538,0,0,0,0,0,0,0,8
7546,26,3,2,3,0,0,0,8
7560,1,11,0,0,0,0,0,8
7561,0,1,0,0,0,0,0,8
7567,3,1,4,0,0,2,0,8
7568,6,1,0,0,0,0,0,8
7581,0,151,0,0,0,0,0,8
7603,0,2,1,0,0,0,0,8
7609,4,3,0,0,0,0,0,8
7614,0,0,0,0,0,0,0,8
7629,0,4,0,0,0,0,2,8
7643,90,2,0,4,0,0,0,8
7655,0,2,3,0,0,0,0,8
7657,0,0,0,0,0,0,0,8
7661,3,0,0,0,0,0,0,8
7675,0,3,0,0,0,0,0,8
7681,0,0,0,3,0,0,0,8
7689,0,2,0,0,0,0,0,8
7690,0,5,3,0,0,0,0,8
7757,1,1,1,0,0,0,0,8
7779,51,4,0,0,0,0,0,8
7783,0,0,4,0,0,1,1,8
7791,1,1,1,0,0,0,0,8
7796,0,1,0,1,0,0,0,8
7798,0,0,6,0,0,0,0,8
7821,0,0,0,4,0,0,0,8
7822,0,36,2,0,0,0,0,8
7827,1,1,4,2,0,0,0,8
7836,4,0,0,0,0,0,5,8
7858,0,2,1,0,0,0,0,8
7866,0,2,0,0,0,0,0,8
7869,20,3,1,0,0,0,0,8
7885,0,5,0,0,0,0,0,8
7900,25,29,0,0,0,0,0,8
7908,77,0,6,0,0,0,1,8
7916,0,3,0,0,0,0,0,8
7927,0,0,0,0,0,0,0,8
7971,0,2,1,0,0,0,5,8
8002,0,0,0,4,0,0,0,8
8020,2,0,0,0,0,0,0,8
8030,31,6,0,0,0,0,0,8
8032,0,1,0,3,0,0,0,8
8049,2,9,1,7,0,0,0,8
8052,0,0,0,2,0,0,0,8
8074,0,1,0,0,0,0,0,8
8080,0,0,0,0,0,0,0,8
8121,1,1,0,0,0,0,0,8
8126,22,2,5,0,0,0,0,8
8145,0,3,1,0,0,0,0,8
8170,6,5,0,3,0,0,0,8
8185,0,1,0,1,0,0,1,8
8191,5,5,0,0,0,0,0,8
8203,0,1,0,3,0,0,0,8
8232,4,0,1,0,0,0,0,8
8238,0,1,0,0,0,0,0,8
8256,0,15,2,0,0,1,0,8
8277,10,59,1,3,1,0,0,8
8288,0,0,0,0,0,0,0,8
8306,1,0,3,0,0,0,0,8
8307,40,36,8,0,0,0,2,8
8313,0,2,0,0,0,0,0,8
8315,0,0,0,0,0,0,0,8
8348,0,3,0,0,0,0,0,8
8367,0,1,2,0,0,0,1,8
8372,7,7,0,0,0,0,0,8
8374,2,0,0,0,0,0,0,8
8381,0,33,1,0,0,0,0,8
8386,0,0,6,0,0,0,0,8
8396,0,0,0,0,0,0,0,8
8430,0,1,0,1,0,0,0,8
8459,0,39,0,0,0,0,0,8
8464,2,3,0,0,0,0,0,8
8469,0,0,4,0,0,2,0,8
8484,0,9,0,5,0,0,0,8
8510,0,25,0,0,0,0,0,8
8513,13,10,0,0,0,0,0,8
8514,0,0,3,0,0,0,0,8
8516,0,2,2,1,0,0,0,8
8526,0,0,0,0,0,0,0,8
8527,52,19,1,0,3,0,0,8
8548,0,3,0,0,0,0,0,8
8575,0,0,2,0,0,1,0,8
8578,0,0,12,0,0,0,0,8
8586,52,0,7,0,0,0,0,8
8639,0,1,0,0,0,0,0,8
8641,1,2,1,0,0,0,0,8
8642,0,0,13,0,0,0,0,8
8680,0,2,0,0,0,0,0,8
8690,0,0,3,0,0,1,2,8
8693,0,0,5,0,0,0,0,8
8694,0,0,0,0,0,0,0,8
8697,0,0,2,0,0,0,0,8
8711,0,1,1,0,0,1,0,8
8717,4,4,0,0,0,0,0,8
8728,28,0,17,0,0,0,0,8
8782,0,4,0,12,0,0,0,8
8785,0,2,0,0,0,0,0,8
8795,0,33,0,0,0,0,2,8
8803,0,0,0,1,0,0,0,8
8811,10,10,0,1,0,0,0,8
8848,0,0,0,0,0,0,0,8
8856,0,0,1,0,0,0,0,8
8902,0,15,0,0,0,0,0,8
8909,0,13,0,0,0,0,0,8
8913,0,8,0,0,0,0,0,8
8961,0,0,0,0,0,0,0,8
8987,7,0,0,1,0,0,0,8
9036,3,1,1,0,0,0,0,8
9078,0,1,0,0,0,0,0,8
9080,0,1,0,6,0,0,0,8
9084,1,4,1,1,0,0,0,8
9086,4,3,1,0,0,0,0,8
9093,3,3,0,0,0,0,0,8
9114,11,3,21,0,0,0,0,8
9121,0,2,1,0,0,0,0,8
9134,1,1,0,0,0,0,0,8
9154,0,7,4,0,0,0,0,8
9155,0,0,0,0,0,0,0,8
9159,0,2,1,0,0,0,0,8
9198,0,0,0,0,0,0,0,8
9202,0,16,0,2,0,0,0,8
9206,0,3,0,0,0,0,0,8
9232,4,1,1,0,0,0,0,8
9286,0,18,0,0,0,0,0,8
9305,0,3,0,2,0,0,0,8
9307,30,3,1,0,0,0,0,8
9312,92,47,0,0,2,0,0,8
9324,0,0,1,3,0,0,0,8
9342,0,2,1,0,0,0,0,8
9346,0,1,12,0,0,0,0,8
9369,0,0,1,0,0,0,0,8
9396,18,1,5,0,0,0,0,8
9446,8,3,2,0,0,0,0,8
9450,36,6,0,0,0,0,0,8
9462,0,1,3,0,0,0,0,8
9474,8,0,1,0,2,0,0,8
9502,0,4,0,0,0,0,0,8
9509,0,4,0,0,0,0,0,8
9512,6,6,3,6,0,0,0,8
9526,0,0,0,0,0,0,0,8
9541,3,2,0,0,0,0,0,8
9575,0,0,1,0,0,1,0,8
9596,0,3,2,0,0,0,0,8
9602,0,1,0,4,0,0,0,8
9617,0,0,0,1,0,0,0,8
9644,6,0,1,0,0,1,0,8
9645,0,0,1,0,0,0,0,8
9666,1,8,1,3,0,0,0,8
9672,0,2,4,0,0,0,0,8
9697,9,0,2,0,0,0,0,8
9708,31,71,0,2,0,0,2,8
9723,0,0,11,0,0,0,0,8
9738,20,126,1,0,0,0,0,8
9742,2,2,1,0,0,1,0,8
9754,8,12,0,0,0,0,0,8
